nums,chans,neuts,suss,thOKs,thneus,thnos,numlegends,m_nums,m_chans,m_neuts,m_suss,m_thOKs,m_thneus,m_thnos,m_numlegends,m_toslegends,indegrees,c_ages,c_males,c_years,c_debts,c_s0s,c_s1s,c_s2s,c_s3s,c_s4s,c_s5s,c_s6s,c_s7s,c_s8s,c_s9s,c_s10s,c_snums
1298,92,318,2,397,453,36,3,8.21518987341772,0.582278481012658,2.0126582278481,0.0126582278481012,2.5126582278481,2.86708860759494,0.227848101265823,0.0189873417721519,0,158,25,1,,,0,0,0,1,1,1,0,0,0,0,0,3
1049,56,342,13,165,370,103,6,9.89622641509434,0.528301886792453,3.22641509433962,0.122641509433962,1.55660377358491,3.49056603773585,0.971698113207547,0.0566037735849056,0,106,25,0,,,0,1,0,1,1,0,0,0,0,0,0,3
85,12,18,0,20,25,10,2,3.4,0.48,0.72,0,0.8,1,0.4,0.08,0,25,,,,,0,0,0,1,1,0,0,0,0,0,0,2
1865,50,537,0,366,897,15,3,41.4444444444444,1.11111111111111,11.9333333333333,0,8.13333333333333,19.9333333333333,0.333333333333333,0.0666666666666666,1,45,35,0,,,0,1,0,0,1,0,0,0,0,0,0,2
16,2,3,0,2,8,1,4,4,0.5,0.75,0,0.5,2,0.25,1,0,4,,,,,0,0,0,1,0,0,0,0,0,0,0,1
22,1,6,0,4,9,2,3,2.44444444444444,0.111111111111111,0.666666666666667,0,0.444444444444444,1,0.222222222222222,0.333333333333333,0,9,,,,,0,0,0,0,1,0,0,0,0,0,0,1
4,0,0,0,0,3,1,2,2,0,0,0,0,1.5,0.5,1,0,2,,,,,0,0,0,0,0,0,0,1,0,0,0,1
7,0,1,0,1,4,1,0,2.33333333333333,0,0.333333333333333,0,0.333333333333333,1.33333333333333,0.333333333333333,0,0,3,,,,,0,0,0,1,0,0,0,0,0,0,0,1
508,4,166,2,50,254,32,0,7.47058823529412,0.0588235294117647,2.44117647058824,0.0294117647058823,0.735294117647059,3.73529411764706,0.470588235294118,0,0,68,35,1,200,,0,1,1,0,0,0,0,0,0,1,0,3
67,5,25,4,5,23,5,25,4.78571428571429,0.357142857142857,1.78571428571429,0.285714285714286,0.357142857142857,1.64285714285714,0.357142857142857,1.78571428571429,0,14,,,9,,0,1,0,1,0,0,1,0,0,0,0,3
28,3,7,0,3,11,4,0,2.8,0.3,0.7,0,0.3,1.1,0.4,0,0,10,,,,,0,0,0,1,1,0,1,0,0,0,0,3
10,3,1,0,2,4,0,4,1.66666666666667,0.5,0.166666666666667,0,0.333333333333333,0.666666666666667,0,0.666666666666667,0,6,,1,,,0,0,0,1,0,0,0,0,0,0,0,1
189,10,87,2,33,54,3,0,4.29545454545455,0.227272727272727,1.97727272727273,0.0454545454545454,0.75,1.22727272727273,0.0681818181818181,0,0,44,,,,,0,0,0,0,1,0,0,0,0,0,0,1
32,3,6,1,9,13,0,2,1.88235294117647,0.176470588235294,0.352941176470588,0.0588235294117647,0.529411764705882,0.764705882352941,0,0.117647058823529,0,17,45,1,,,0,0,0,0,1,0,0,0,0,0,0,1
4049,114,1587,14,713,1540,81,0,43.5376344086022,1.2258064516129,17.0645161290323,0.150537634408602,7.66666666666667,16.5591397849462,0.870967741935484,0,1,93,45,,6,,0,1,0,1,1,0,0,1,0,0,0,4
16,0,3,1,3,9,0,0,1.77777777777778,0,0.333333333333333,0.111111111111111,0.333333333333333,1,0,0,0,9,,,,,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,0,1,,,,1,0,0,0,0,0,0,0,0,1,0,0,1
8,0,2,0,1,5,0,0,2,0,0.5,0,0.25,1.25,0,0,0,4,,,,,0,1,0,1,0,0,0,0,0,0,0,2
914,28,296,6,168,379,37,6,15.2333333333333,0.466666666666667,4.93333333333333,0.1,2.8,6.31666666666667,0.616666666666667,0.1,0,60,,,48,,0,1,1,1,1,0,0,0,1,1,0,6
309,23,96,0,53,123,14,0,5.32758620689655,0.396551724137931,1.6551724137931,0,0.913793103448276,2.12068965517241,0.241379310344828,0,0,58,25,,,,0,1,0,1,0,0,0,0,0,0,0,2
21,1,4,0,3,12,1,0,1.4,0.0666666666666666,0.266666666666667,0,0.2,0.8,0.0666666666666666,0,1,15,45,1,80,16,0,1,0,1,1,0,0,0,0,0,0,3
14,1,2,0,0,7,4,3,3.5,0.25,0.5,0,0,1.75,1,0.75,0,4,,,,10,0,0,0,1,0,1,0,0,0,0,0,2
357,5,139,2,53,135,23,2,9.91666666666667,0.138888888888889,3.86111111111111,0.0555555555555555,1.47222222222222,3.75,0.638888888888889,0.0555555555555555,0,36,25,1,130,,0,1,0,1,0,0,0,0,1,0,0,3
2543,75,1221,31,331,765,120,5,26.7684210526316,0.789473684210526,12.8526315789474,0.326315789473684,3.48421052631579,8.05263157894737,1.26315789473684,0.0526315789473684,0,95,55,,8,,0,1,0,0,0,0,0,1,0,0,0,2
15,3,4,0,1,7,0,0,2.14285714285714,0.428571428571429,0.571428571428571,0,0.142857142857143,1,0,0,1,7,,,,10,0,1,0,1,0,1,0,0,1,0,0,4
316,6,92,2,38,163,15,0,10.8965517241379,0.206896551724138,3.17241379310345,0.0689655172413793,1.31034482758621,5.62068965517241,0.517241379310345,0,0,29,,,1000,,0,1,0,1,1,0,0,1,1,0,0,5
125,6,27,1,27,48,16,17,7.8125,0.375,1.6875,0.0625,1.6875,3,1,1.0625,1,16,45,1,,,0,1,0,1,1,0,0,0,0,1,0,4
12,1,3,0,2,6,0,5,2.4,0.2,0.6,0,0.4,1.2,0,1,0,5,,,,,0,0,0,1,0,0,0,0,0,0,0,1
379,31,134,1,36,159,18,37,5.26388888888889,0.430555555555556,1.86111111111111,0.0138888888888888,0.5,2.20833333333333,0.25,0.513888888888889,0,72,,,,,0,1,0,0,1,0,0,0,0,0,0,2
