index,plsbeta,se,t_values,p_values
nums,0.015726420108606913,0.008958610245023362,1.7554530980230074,0.07946877213156434
chans,0.008400373393386677,0.026196824891784615,0.3206637990705909,0.7485279735770387
neuts,-0.0038809974978463594,0.05003798209385237,-0.07756103134948712,0.9381917828502138
suss,-0.03586079664887193,0.021413116307150006,-1.6747117110132042,0.09428384456498695
thOKs,0.03505555675407233,0.05036037073005644,0.6960940963278139,0.4865214977013168
thneus,0.03970093783964519,0.06553009571643263,0.6058428178014945,0.5447479842233096
thnos,-0.07119467632036953,0.026379453392932715,-2.698868519369822,0.007067461948939369
c_ages,-0.010710006608833087,0.011337839648008788,-0.9446249851235139,0.3450642155901952
c_males,0.011864647871993886,0.011454697675751878,1.0357888272433258,0.30053535547486154
c_years,0.0053655587799515915,0.011555938649130784,0.46431180909351566,0.6425190832657641
c_debts,0.0002087377396154338,0.01188960737509005,0.01755631897927604,0.9859960859056316
indegrees,0.08242683761496714,0.02360863031596272,3.4913858411868612,0.0005001789887189023
numlegends,-0.007367262110813219,0.012357816161064876,-0.5961621385843937,0.5511933620567468
c_s1s,0.0065496013061260355,0.014789499486212105,0.4428548317157096,0.6579605044812911
c_s3s,-0.009410981514567124,0.013084242159697114,-0.7192607259712303,0.4721377846045093
c_s4s,0.007493023376746528,0.014532535513710847,0.5156033074666957,0.6062383119557917
c_s7s,0.03001001278760219,0.015062921647566268,1.9923102230602747,0.04659149716694033
c_s9s,0.020370450646566163,0.013279834461267487,1.533938597350702,0.12534120116336833
c_s10s,-0.01848302044213891,0.012231376764067397,-1.5111152896898097,0.13105516630839276
c_snums,-0.02350577073194306,0.025214739198904997,-0.9322234327517395,0.35143195392118776
