cs,m_legends,std_legends,num_ldfs,m_nonlegends,std_nonlegends,num_nonldfs,t_values,p_values
nums,570.6708074534162,1139.159539682506,161,191.20581896551724,521.1371225757041,928,4.139440506200577,5.446696599388045e-05
chans,25.341614906832298,46.23664562481054,161,9.560344827586206,21.21357478251857,928,4.240978438466169,3.62923559615996e-05
neuts,207.88198757763976,452.1263685672552,161,70.58836206896552,221.51488321385588,928,3.763875577176144,0.00022872232947717346
suss,2.8385093167701863,5.987461662235968,161,1.5398706896551724,5.157698964069975,928,2.5830715739989127,0.010495109532015696
thOKs,93.42857142857143,177.31222118045545,161,30.211206896551722,78.38477571608304,928,4.435616438832436,1.6390064750872552e-05
thneus,225.45962732919256,446.5245083629847,161,70.53017241379311,184.89114095439658,928,4.325297610483724,2.5936120138754322e-05
thnos,15.720496894409937,34.70482651741725,161,8.775862068965518,25.919416303192794,928,2.4174632816439403,0.01656385047380098
numlegends,8.751552795031056,24.40472183614037,161,5.431034482758621,19.298349106599517,928,1.6350698208863064,0.10363933719189368
m_nums,6.760443008956092,8.381620815536577,161,4.8407101398064825,7.324378638429747,928,2.723248873690818,0.007023569269622909
m_chans,0.3430500913239933,0.3630157435208879,161,0.26959512722425827,0.35700523722582317,928,2.3693705466337573,0.018695931498373848
m_neuts,2.3649914593470753,3.53300670674053,161,1.5621513419272688,3.0423836646880575,928,2.706398763069767,0.007380699119513392
m_suss,0.03834244132644079,0.059847750457062816,161,0.04155544752061852,0.09811008734380662,928,-0.5612758158061006,0.5749897972070548
m_thOKs,1.111562157698607,1.3406985349135094,161,0.7617629673886268,1.5235683438953125,928,2.984371830283297,0.003138741151467544
m_thneus,2.6858781858358687,3.324077685497967,161,1.9658611775551043,2.708765625730607,928,2.5951900965692296,0.010160432043373547
m_thnos,0.2166186734241089,0.2920746037478712,161,0.2397840781906057,0.381921484607233,928,-0.8815578827488509,0.3788166280988844
m_numlegends,0.15203087807624524,0.4682153479282922,161,0.4317019320762382,1.482131534553057,928,-4.573194978603279,5.578413282550652e-06
m_toslegends,1.0,0.0,161,0.0,0.0,928,inf,0.0
indegrees,47.98136645962733,55.846114212780726,161,22.54310344827586,28.63782982813398,928,5.6352848110876455,6.883383387383574e-08
c_ages,33.8,9.086253353280437,75,36.179906542056074,9.251060459073534,428,-2.074507922373984,0.04053985938582646
c_males,0.8521739130434782,0.35492750664275746,115,0.8438485804416404,0.3629988343345868,634,0.22974014557413297,0.818587185418664
c_years,458.05263157894734,735.988449114466,19,216.34392523364485,372.5772275656154,107,1.3639794245727583,0.18803838335918244
c_debts,12.7,7.419568720619818,50,11.211155378486056,7.021682062285763,251,1.2955365726050492,0.1995608807315675
c_s0s,0.0,0.0,161,0.0,0.0,928,,
c_s1s,0.453416149068323,0.4978252151432019,161,0.3739224137931034,0.48384340675082327,928,1.8729170470503604,0.06243423396862438
c_s2s,0.19254658385093168,0.394299881940469,161,0.17672413793103448,0.3814350757384108,928,0.4709702620644623,0.638139702460067
c_s3s,0.7329192546583851,0.4424348774784627,161,0.7489224137931034,0.43363306136803614,928,-0.42374462983686584,0.6721728944076799
c_s4s,0.6894409937888198,0.462722497694141,161,0.552801724137931,0.49720416121354205,928,3.4107839636119754,0.0007657914510845313
c_s5s,0.15527950310559005,0.36217092514567084,161,0.1584051724137931,0.3651204921205458,928,-0.10069140992449983,0.9198871781476576
c_s6s,0.11180124223602485,0.31512176134076575,161,0.14224137931034483,0.34929753695414945,928,-1.1098512173427315,0.26820604931212344
c_s7s,0.34782608695652173,0.47628048478710094,161,0.20797413793103448,0.40585822140604416,928,3.5012676832129723,0.0005697971072227823
c_s8s,0.2919254658385093,0.45464820271664846,161,0.23060344827586207,0.4212190616759216,928,1.592213845723019,0.11283988381898119
c_s9s,0.14285714285714285,0.3499271061118826,161,0.08728448275862069,0.28225148684848544,928,1.904731411487899,0.05826797800714314
c_s10s,0.006211180124223602,0.07856590460045662,161,0.040948275862068964,0.19817041798914606,928,-3.861039587772061,0.0001255377894952644
c_snums,3.124223602484472,1.8608679066905842,161,2.7198275862068964,1.7705551354066507,928,2.5563769787117008,0.011272991317365724
