nums,chans,neuts,suss,thOKs,thneus,thnos,numlegends,m_nums,m_chans,m_neuts,m_suss,m_thOKs,m_thneus,m_thnos,m_numlegends,m_toslegends,indegrees,cl2
2541,75,1219,31,331,765,120,5,27.031914893617,0.797872340425532,12.968085106383,0.329787234042553,3.52127659574468,8.13829787234043,1.27659574468085,0.0531914893617021,0,94,10
5,3,0,0,1,1,0,0,2.5,1.5,0,0,0.5,0.5,0,0,1,2,10
307,5,87,2,38,160,15,0,11.8076923076923,0.192307692307692,3.34615384615385,0.0769230769230769,1.46153846153846,6.15384615384615,0.576923076923077,0,0,26,10
122,6,27,1,26,46,16,16,7.625,0.375,1.6875,0.0625,1.625,2.875,1,1,1,16,10
12,1,3,0,2,6,0,5,2.4,0.2,0.6,0,0.4,1.2,0,1,0,5,10
156,20,52,0,10,73,1,25,3.80487804878049,0.487804878048781,1.26829268292683,0,0.24390243902439,1.78048780487805,0.024390243902439,0.609756097560976,0,41,10
418,24,136,2,62,179,15,0,6.74193548387097,0.387096774193548,2.19354838709677,0.032258064516129,1,2.88709677419355,0.241935483870968,0,0,62,10
810,32,217,9,135,394,23,2,12.2727272727273,0.484848484848485,3.28787878787879,0.136363636363636,2.04545454545455,5.96969696969697,0.348484848484848,0.0303030303030303,1,66,10
23,0,4,0,12,6,1,0,3.28571428571429,0,0.571428571428571,0,1.71428571428571,0.857142857142857,0.142857142857143,0,0,7,10
4,0,2,0,0,2,0,0,1,0,0.5,0,0,0.5,0,0,0,4,10
19,3,4,1,3,7,1,2,2.11111111111111,0.333333333333333,0.444444444444444,0.111111111111111,0.333333333333333,0.777777777777778,0.111111111111111,0.222222222222222,0,9,10
52,7,13,0,16,15,1,0,3.46666666666667,0.466666666666667,0.866666666666667,0,1.06666666666667,1,0.0666666666666666,0,0,15,10
799,22,307,4,128,279,59,10,14.5272727272727,0.4,5.58181818181818,0.0727272727272727,2.32727272727273,5.07272727272727,1.07272727272727,0.181818181818182,0,55,10
29,0,5,0,1,23,0,22,5.8,0,1,0,0.2,4.6,0,4.4,0,5,10
4,0,0,0,0,4,0,0,1.33333333333333,0,0,0,0,1.33333333333333,0,0,0,3,10
33,1,8,1,5,16,2,2,2.75,0.0833333333333333,0.666666666666667,0.0833333333333333,0.416666666666667,1.33333333333333,0.166666666666667,0.166666666666667,0,12,10
13,0,1,0,4,8,0,0,1.625,0,0.125,0,0.5,1,0,0,1,8,10
9,2,3,0,1,2,1,0,1.125,0.25,0.375,0,0.125,0.25,0.125,0,0,8,10
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10
132,0,39,0,25,64,4,11,5.28,0,1.56,0,1,2.56,0.16,0.44,0,25,10
53,3,28,3,4,14,1,0,1.89285714285714,0.107142857142857,1,0.107142857142857,0.142857142857143,0.5,0.0357142857142857,0,0,28,10
704,20,305,1,116,247,15,4,18.5263157894737,0.526315789473684,8.02631578947369,0.0263157894736842,3.05263157894737,6.5,0.394736842105263,0.105263157894737,0,38,10
9,1,0,1,0,7,0,0,2.25,0.25,0,0.25,0,1.75,0,0,0,4,10
11,2,2,0,1,6,0,7,3.66666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,2,0,2.33333333333333,0,3,10
31,4,6,1,4,12,4,1,3.875,0.5,0.75,0.125,0.5,1.5,0.5,0.125,1,8,10
14,1,5,0,2,6,0,0,2,0.142857142857143,0.714285714285714,0,0.285714285714286,0.857142857142857,0,0,0,7,10
4,0,2,0,0,2,0,0,1.33333333333333,0,0.666666666666667,0,0,0.666666666666667,0,0,0,3,10
83,3,45,2,7,21,5,2,5.1875,0.1875,2.8125,0.125,0.4375,1.3125,0.3125,0.125,0,16,10
98,2,27,2,21,43,3,16,5.15789473684211,0.105263157894737,1.42105263157895,0.105263157894737,1.10526315789474,2.26315789473684,0.157894736842105,0.842105263157895,0,19,10
165,5,59,0,26,64,11,0,15,0.454545454545454,5.36363636363636,0,2.36363636363636,5.81818181818182,1,0,0,11,10
535,31,215,13,59,194,23,4,11.1458333333333,0.645833333333333,4.47916666666667,0.270833333333333,1.22916666666667,4.04166666666667,0.479166666666667,0.0833333333333333,0,48,10
4,1,0,0,0,3,0,0,2,0.5,0,0,0,1.5,0,0,0,2,10
34,0,3,0,4,16,11,29,8.5,0,0.75,0,1,4,2.75,7.25,0,4,10
4,0,1,0,0,3,0,2,2,0,0.5,0,0,1.5,0,1,0,2,10
16,0,4,0,4,8,0,0,2.66666666666667,0,0.666666666666667,0,0.666666666666667,1.33333333333333,0,0,0,6,10
22,1,6,0,2,13,0,9,5.5,0.25,1.5,0,0.5,3.25,0,2.25,0,4,10
20,1,6,0,1,11,1,5,2.5,0.125,0.75,0,0.125,1.375,0.125,0.625,0,8,10
5,1,2,0,0,2,0,0,1.66666666666667,0.333333333333333,0.666666666666667,0,0,0.666666666666667,0,0,0,3,10
12,1,1,0,0,10,0,12,12,1,1,0,0,10,0,12,0,1,10
54,5,5,0,8,34,2,16,2.45454545454545,0.227272727272727,0.227272727272727,0,0.363636363636364,1.54545454545455,0.0909090909090909,0.727272727272727,1,22,10
407,11,153,3,74,137,29,0,21.4210526315789,0.578947368421053,8.05263157894737,0.157894736842105,3.89473684210526,7.21052631578947,1.52631578947368,0,0,19,10
77,18,13,1,13,25,7,0,7,1.63636363636364,1.18181818181818,0.0909090909090909,1.18181818181818,2.27272727272727,0.636363636363636,0,0,11,10
96,27,6,0,23,40,0,18,2.28571428571429,0.642857142857143,0.142857142857143,0,0.547619047619048,0.952380952380952,0,0.428571428571429,0,42,10
40,2,8,0,8,19,3,0,3.07692307692308,0.153846153846154,0.615384615384615,0,0.615384615384615,1.46153846153846,0.230769230769231,0,1,13,10
27,0,10,1,3,11,2,6,2.07692307692308,0,0.769230769230769,0.0769230769230769,0.230769230769231,0.846153846153846,0.153846153846154,0.461538461538462,0,13,10
336,8,78,7,53,154,36,7,3.7752808988764,0.0898876404494382,0.876404494382022,0.0786516853932584,0.595505617977528,1.73033707865169,0.404494382022472,0.0786516853932584,0,89,10
88,11,24,0,19,29,5,0,14.6666666666667,1.83333333333333,4,0,3.16666666666667,4.83333333333333,0.833333333333333,0,0,6,10
2,0,0,0,0,1,1,0,1,0,0,0,0,0.5,0.5,0,0,2,10
288,6,135,0,28,106,13,0,28.8,0.6,13.5,0,2.8,10.6,1.3,0,1,10,10
3672,61,1509,13,536,1478,75,8,61.2,1.01666666666667,25.15,0.216666666666667,8.93333333333333,24.6333333333333,1.25,0.133333333333333,1,60,10
65,4,39,3,6,12,1,1,5,0.307692307692308,3,0.230769230769231,0.461538461538462,0.923076923076923,0.0769230769230769,0.0769230769230769,0,13,10
2456,148,932,2,356,986,32,1,21.5438596491228,1.29824561403509,8.17543859649123,0.0175438596491228,3.12280701754386,8.64912280701754,0.280701754385965,0.0087719298245614,1,114,10
272,29,78,0,46,107,12,3,9.71428571428571,1.03571428571429,2.78571428571429,0,1.64285714285714,3.82142857142857,0.428571428571429,0.107142857142857,1,28,10
48,5,15,0,9,15,4,0,3.2,0.333333333333333,1,0,0.6,1,0.266666666666667,0,0,15,10
14,0,6,0,0,8,0,0,4.66666666666667,0,2,0,0,2.66666666666667,0,0,0,3,10
528,7,232,2,110,148,29,13,13.8947368421053,0.184210526315789,6.10526315789474,0.0526315789473684,2.89473684210526,3.89473684210526,0.763157894736842,0.342105263157895,0,38,10
9,0,0,0,0,9,0,0,4.5,0,0,0,0,4.5,0,0,0,2,10
79,5,30,0,16,25,3,0,2.32352941176471,0.147058823529412,0.882352941176471,0,0.470588235294118,0.735294117647059,0.088235294117647,0,0,34,10
2043,57,843,6,311,697,129,26,78.5769230769231,2.19230769230769,32.4230769230769,0.230769230769231,11.9615384615385,26.8076923076923,4.96153846153846,1,0,26,10
2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,10
11,0,1,0,0,9,1,7,5.5,0,0.5,0,0,4.5,0.5,3.5,0,2,10
575,72,142,4,89,250,18,10,9.91379310344828,1.24137931034483,2.44827586206897,0.0689655172413793,1.53448275862069,4.31034482758621,0.310344827586207,0.172413793103448,0,58,10
523,34,154,4,83,212,36,63,12.1627906976744,0.790697674418605,3.58139534883721,0.0930232558139534,1.93023255813954,4.93023255813954,0.837209302325581,1.46511627906977,1,43,10
143,9,39,3,33,43,16,0,8.9375,0.5625,2.4375,0.1875,2.0625,2.6875,1,0,0,16,10
48,1,13,1,2,31,0,13,8,0.166666666666667,2.16666666666667,0.166666666666667,0.333333333333333,5.16666666666667,0,2.16666666666667,0,6,10
48,5,12,1,6,21,3,0,2,0.208333333333333,0.5,0.0416666666666666,0.25,0.875,0.125,0,1,24,10
38,0,7,0,8,21,2,0,4.22222222222222,0,0.777777777777778,0,0.888888888888889,2.33333333333333,0.222222222222222,0,0,9,10
11,0,1,0,1,9,0,11,11,0,1,0,1,9,0,11,0,1,10
12,1,4,0,0,5,2,0,3,0.25,1,0,0,1.25,0.5,0,0,4,10
54,1,15,0,14,24,0,0,7.71428571428571,0.142857142857143,2.14285714285714,0,2,3.42857142857143,0,0,0,7,10
36,2,7,0,11,14,2,2,3.6,0.2,0.7,0,1.1,1.4,0.2,0.2,0,10,10
70,7,10,0,25,26,2,0,2.8,0.28,0.4,0,1,1.04,0.08,0,1,25,10
25,2,9,0,4,10,0,0,8.33333333333333,0.666666666666667,3,0,1.33333333333333,3.33333333333333,0,0,1,3,10
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10
85,12,13,1,13,44,2,12,4.47368421052632,0.631578947368421,0.68421052631579,0.0526315789473684,0.68421052631579,2.31578947368421,0.105263157894737,0.631578947368421,1,19,10
38,2,11,3,1,17,4,1,3.16666666666667,0.166666666666667,0.916666666666667,0.25,0.0833333333333333,1.41666666666667,0.333333333333333,0.0833333333333333,0,12,10
73,3,9,0,42,18,1,0,2.92,0.12,0.36,0,1.68,0.72,0.04,0,0,25,10
76,7,30,1,13,20,5,0,4.22222222222222,0.388888888888889,1.66666666666667,0.0555555555555555,0.722222222222222,1.11111111111111,0.277777777777778,0,0,18,10
203,11,55,4,31,91,11,6,3.98039215686275,0.215686274509804,1.07843137254902,0.0784313725490196,0.607843137254902,1.7843137254902,0.215686274509804,0.117647058823529,0,51,10
8,2,1,0,3,2,0,0,1,0.25,0.125,0,0.375,0.25,0,0,0,8,10
7,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,1,7,10
152,8,56,7,32,35,14,1,6.60869565217391,0.347826086956522,2.43478260869565,0.304347826086956,1.39130434782609,1.52173913043478,0.608695652173913,0.0434782608695652,0,23,10
30,2,16,0,3,9,0,0,3.75,0.25,2,0,0.375,1.125,0,0,0,8,10
93,5,27,1,10,46,4,6,4.04347826086957,0.217391304347826,1.17391304347826,0.0434782608695652,0.434782608695652,2,0.173913043478261,0.260869565217391,0,23,10
124,4,46,2,18,51,3,0,8.85714285714286,0.285714285714286,3.28571428571429,0.142857142857143,1.28571428571429,3.64285714285714,0.214285714285714,0,0,14,10
36,3,18,0,2,12,1,0,3.27272727272727,0.272727272727273,1.63636363636364,0,0.181818181818182,1.09090909090909,0.0909090909090909,0,0,11,10
139,6,57,1,23,41,11,0,3.86111111111111,0.166666666666667,1.58333333333333,0.0277777777777777,0.638888888888889,1.13888888888889,0.305555555555556,0,0,36,10
37,3,15,2,12,5,0,0,3.7,0.3,1.5,0.2,1.2,0.5,0,0,0,10,10
4,0,1,0,0,3,0,4,4,0,1,0,0,3,0,4,0,1,10
31,1,12,0,5,11,2,2,5.16666666666667,0.166666666666667,2,0,0.833333333333333,1.83333333333333,0.333333333333333,0.333333333333333,0,6,10
38,11,4,1,8,13,1,0,2.23529411764706,0.647058823529412,0.235294117647059,0.0588235294117647,0.470588235294118,0.764705882352941,0.0588235294117647,0,0,17,10
24,0,4,0,0,18,2,12,3.42857142857143,0,0.571428571428571,0,0,2.57142857142857,0.285714285714286,1.71428571428571,0,7,10
71,6,33,0,11,15,6,0,3.38095238095238,0.285714285714286,1.57142857142857,0,0.523809523809524,0.714285714285714,0.285714285714286,0,0,21,10
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,10
2559,41,1087,13,390,881,147,32,44.1206896551724,0.706896551724138,18.7413793103448,0.224137931034483,6.72413793103448,15.1896551724138,2.53448275862069,0.551724137931034,1,58,10
112,3,31,1,15,52,10,4,8.61538461538462,0.230769230769231,2.38461538461538,0.0769230769230769,1.15384615384615,4,0.769230769230769,0.307692307692308,0,13,10
859,22,304,5,84,401,43,8,10.2261904761905,0.261904761904762,3.61904761904762,0.0595238095238095,1,4.77380952380952,0.511904761904762,0.0952380952380952,0,84,10
44,0,11,3,9,14,7,11,3.38461538461538,0,0.846153846153846,0.230769230769231,0.692307692307692,1.07692307692308,0.538461538461538,0.846153846153846,0,13,10
20,0,5,1,2,11,1,0,2.22222222222222,0,0.555555555555556,0.111111111111111,0.222222222222222,1.22222222222222,0.111111111111111,0,1,9,10
105,24,33,0,19,24,5,0,6.17647058823529,1.41176470588235,1.94117647058824,0,1.11764705882353,1.41176470588235,0.294117647058823,0,0,17,10
90,1,55,4,17,11,2,0,2.8125,0.03125,1.71875,0.125,0.53125,0.34375,0.0625,0,0,32,10
1076,20,528,4,87,408,29,0,28.3157894736842,0.526315789473684,13.8947368421053,0.105263157894737,2.28947368421053,10.7368421052632,0.763157894736842,0,1,38,10
2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,2,10
11,0,1,0,2,8,0,4,3.66666666666667,0,0.333333333333333,0,0.666666666666667,2.66666666666667,0,1.33333333333333,0,3,10
12,3,0,0,1,6,2,5,3,0.75,0,0,0.25,1.5,0.5,1.25,0,4,10
12,2,3,0,1,6,0,3,2.4,0.4,0.6,0,0.2,1.2,0,0.6,0,5,10
1930,31,971,9,274,601,44,17,29.2424242424242,0.46969696969697,14.7121212121212,0.136363636363636,4.15151515151515,9.10606060606061,0.666666666666667,0.257575757575757,0,66,10
17,0,3,0,0,12,2,16,8.5,0,1.5,0,0,6,1,8,0,2,10
12,0,6,0,1,2,3,0,3,0,1.5,0,0.25,0.5,0.75,0,0,4,10
3,0,0,0,1,2,0,0,3,0,0,0,1,2,0,0,0,1,10
17,0,2,0,2,13,0,0,1.41666666666667,0,0.166666666666667,0,0.166666666666667,1.08333333333333,0,0,0,12,10
9,0,2,0,2,5,0,0,1.5,0,0.333333333333333,0,0.333333333333333,0.833333333333333,0,0,0,6,10
3,1,0,0,1,1,0,0,1,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,1,3,10
659,36,210,3,128,268,14,0,8.03658536585366,0.439024390243902,2.5609756097561,0.0365853658536585,1.5609756097561,3.26829268292683,0.170731707317073,0,0,82,10
127,4,49,0,19,49,6,0,6.04761904761905,0.19047619047619,2.33333333333333,0,0.904761904761905,2.33333333333333,0.285714285714286,0,0,21,10
75,6,12,1,16,35,5,0,2.34375,0.1875,0.375,0.03125,0.5,1.09375,0.15625,0,0,32,10
10,1,1,0,1,7,0,0,1.42857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,1,0,0,0,7,10
45,14,3,1,9,15,3,0,2.25,0.7,0.15,0.05,0.45,0.75,0.15,0,0,20,10
4,0,0,0,0,4,0,1,1.33333333333333,0,0,0,0,1.33333333333333,0,0.333333333333333,1,3,10
10,0,2,0,2,6,0,0,1.66666666666667,0,0.333333333333333,0,0.333333333333333,1,0,0,0,6,10
41,6,5,2,2,22,4,4,2.41176470588235,0.352941176470588,0.294117647058823,0.117647058823529,0.117647058823529,1.29411764705882,0.235294117647059,0.235294117647059,0,17,10
17,0,0,0,1,15,1,17,17,0,0,0,1,15,1,17,0,1,10
146,10,54,4,27,39,12,1,3.8421052631579,0.263157894736842,1.42105263157895,0.105263157894737,0.710526315789474,1.02631578947368,0.31578947368421,0.0263157894736842,1,38,10
10,0,2,0,1,7,0,4,1.66666666666667,0,0.333333333333333,0,0.166666666666667,1.16666666666667,0,0.666666666666667,0,6,10
323,6,122,5,43,110,37,4,14.0434782608696,0.260869565217391,5.30434782608696,0.217391304347826,1.8695652173913,4.78260869565217,1.60869565217391,0.173913043478261,0,23,10
238,14,86,1,25,102,10,2,5.80487804878049,0.341463414634146,2.09756097560976,0.024390243902439,0.609756097560976,2.48780487804878,0.24390243902439,0.048780487804878,0,41,10
1282,63,591,12,203,352,61,220,19.4242424242424,0.954545454545455,8.95454545454546,0.181818181818182,3.07575757575758,5.33333333333333,0.924242424242424,3.33333333333333,0,66,10
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10
36,1,2,0,12,19,2,11,2.76923076923077,0.0769230769230769,0.153846153846154,0,0.923076923076923,1.46153846153846,0.153846153846154,0.846153846153846,0,13,10
8,0,1,0,2,3,2,1,2,0,0.25,0,0.5,0.75,0.5,0.25,0,4,10
25,2,5,0,3,15,0,0,2.08333333333333,0.166666666666667,0.416666666666667,0,0.25,1.25,0,0,0,12,10
6,2,1,0,2,1,0,0,1.2,0.4,0.2,0,0.4,0.2,0,0,0,5,10
135,6,33,3,19,70,4,0,2.41071428571429,0.107142857142857,0.589285714285714,0.0535714285714285,0.339285714285714,1.25,0.0714285714285714,0,0,56,10
32,0,6,0,3,19,4,2,2.90909090909091,0,0.545454545454545,0,0.272727272727273,1.72727272727273,0.363636363636364,0.181818181818182,0,11,10
112,4,37,0,9,54,8,4,5.33333333333333,0.19047619047619,1.76190476190476,0,0.428571428571429,2.57142857142857,0.380952380952381,0.19047619047619,0,21,10
12,1,4,0,1,6,0,0,2,0.166666666666667,0.666666666666667,0,0.166666666666667,1,0,0,1,6,10
24,0,8,0,5,11,0,4,3.42857142857143,0,1.14285714285714,0,0.714285714285714,1.57142857142857,0,0.571428571428571,0,7,10
28,5,6,0,1,10,6,0,2.15384615384615,0.384615384615385,0.461538461538462,0,0.0769230769230769,0.769230769230769,0.461538461538462,0,0,13,10
4,0,1,0,0,3,0,0,1.33333333333333,0,0.333333333333333,0,0,1,0,0,0,3,10
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,10
59,6,20,0,7,23,3,4,2.36,0.24,0.8,0,0.28,0.92,0.12,0.16,0,25,10
43,8,14,0,7,13,1,0,1.95454545454545,0.363636363636364,0.636363636363636,0,0.318181818181818,0.590909090909091,0.0454545454545454,0,1,22,10
17,9,3,0,1,3,1,0,3.4,1.8,0.6,0,0.2,0.6,0.2,0,0,5,10
178,12,63,0,29,69,5,6,8.47619047619048,0.571428571428571,3,0,1.38095238095238,3.28571428571429,0.238095238095238,0.285714285714286,0,21,10
28,1,13,0,3,7,4,0,2,0.0714285714285714,0.928571428571429,0,0.214285714285714,0.5,0.285714285714286,0,0,14,10
188,10,67,1,22,83,5,0,8.54545454545455,0.454545454545454,3.04545454545455,0.0454545454545454,1,3.77272727272727,0.227272727272727,0,0,22,10
131,18,26,1,25,57,4,11,5.45833333333333,0.75,1.08333333333333,0.0416666666666666,1.04166666666667,2.375,0.166666666666667,0.458333333333333,0,24,10
88,2,11,0,33,38,4,21,4,0.0909090909090909,0.5,0,1.5,1.72727272727273,0.181818181818182,0.954545454545455,0,22,10
103,2,27,3,17,49,5,0,2.78378378378378,0.054054054054054,0.72972972972973,0.081081081081081,0.45945945945946,1.32432432432432,0.135135135135135,0,0,37,10
296,9,74,0,54,141,18,190,10.962962962963,0.333333333333333,2.74074074074074,0,2,5.22222222222222,0.666666666666667,7.03703703703704,0,27,10
129,0,59,0,24,38,8,0,21.5,0,9.83333333333333,0,4,6.33333333333333,1.33333333333333,0,0,6,10
2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,1,10
704,57,273,4,121,207,42,2,8.48192771084337,0.686746987951807,3.28915662650602,0.0481927710843373,1.4578313253012,2.49397590361446,0.506024096385542,0.0240963855421686,0,83,10
27,2,8,2,5,8,2,0,4.5,0.333333333333333,1.33333333333333,0.333333333333333,0.833333333333333,1.33333333333333,0.333333333333333,0,0,6,10
36,5,7,1,7,14,2,1,1.8,0.25,0.35,0.05,0.35,0.7,0.1,0.05,0,20,10
7,1,1,0,0,5,0,1,1.4,0.2,0.2,0,0,1,0,0.2,0,5,10
1864,44,675,5,279,830,31,2,20.2608695652174,0.478260869565217,7.33695652173913,0.0543478260869565,3.03260869565217,9.02173913043478,0.33695652173913,0.0217391304347826,1,92,10
3,0,0,0,0,3,0,3,3,0,0,0,0,3,0,3,0,1,10
73,10,13,0,10,37,3,42,9.125,1.25,1.625,0,1.25,4.625,0.375,5.25,0,8,10
